Bandit,Reward,Algorithm
2.0,4.495205226456464,EpsilonGreedy
2.0,3.4049943972371453,EpsilonGreedy
2.0,4.17888410779108,EpsilonGreedy
2.0,2.4132655473204263,EpsilonGreedy
2.0,3.52121812044566,EpsilonGreedy
2.0,2.6649321779365045,EpsilonGreedy
2.0,3.051797746105799,EpsilonGreedy
2.0,4.073577942583852,EpsilonGreedy
2.0,3.1583923644119385,EpsilonGreedy
2.0,4.221726768808529,EpsilonGreedy
2.0,2.826712292190102,EpsilonGreedy
2.0,2.4521378054929945,EpsilonGreedy
2.0,3.6025136843895487,EpsilonGreedy
2.0,1.3389039113879257,EpsilonGreedy
2.0,2.3387597790305317,EpsilonGreedy
2.0,1.459928796351574,EpsilonGreedy
2.0,3.230001683445755,EpsilonGreedy
2.0,3.187590559298464,EpsilonGreedy
2.0,1.6717005888204937,EpsilonGreedy
2.0,2.4229099118874857,EpsilonGreedy
2.0,2.0361295335650182,EpsilonGreedy
2.0,3.6195479321976443,EpsilonGreedy
2.0,2.774183180873237,EpsilonGreedy
2.0,4.095073127506476,EpsilonGreedy
2.0,3.1694465032760823,EpsilonGreedy
2.0,2.5775847451078886,EpsilonGreedy
2.0,2.464445075120816,EpsilonGreedy
2.0,4.781858213125018,EpsilonGreedy
2.0,4.398051486401547,EpsilonGreedy
2.0,1.3826672059065355,EpsilonGreedy
2.0,-0.04485392083500761,EpsilonGreedy
2.0,3.132784465170538,EpsilonGreedy
2.0,2.759924459446893,EpsilonGreedy
2.0,2.6126165246522537,EpsilonGreedy
2.0,2.8090737828964407,EpsilonGreedy
2.0,3.5458192681449723,EpsilonGreedy
2.0,1.8958253234153342,EpsilonGreedy
2.0,3.883706464026598,EpsilonGreedy
2.0,2.969542915759172,EpsilonGreedy
2.0,2.580709999267344,EpsilonGreedy
2.0,4.159110383134055,EpsilonGreedy
2.0,1.969882966182217,EpsilonGreedy
2.0,1.7802472522885682,EpsilonGreedy
2.0,3.609151382749248,EpsilonGreedy
2.0,4.809151947292848,EpsilonGreedy
2.0,4.820748186940308,EpsilonGreedy
2.0,1.6362120031915417,EpsilonGreedy
2.0,1.786479344175505,EpsilonGreedy
2.0,3.1424326552799027,EpsilonGreedy
2.0,3.9311988757775387,EpsilonGreedy
2.0,3.3250333605329696,EpsilonGreedy
2.0,2.1123989841744213,EpsilonGreedy
2.0,3.367663479592347,EpsilonGreedy
2.0,2.99281921831675,EpsilonGreedy
2.0,2.420625242255222,EpsilonGreedy
2.0,2.1348074098972925,EpsilonGreedy
2.0,2.5386700671904134,EpsilonGreedy
2.0,2.6353166139437296,EpsilonGreedy
2.0,2.429589831362059,EpsilonGreedy
2.0,2.1995829570682326,EpsilonGreedy
2.0,3.8415423630656433,EpsilonGreedy
2.0,3.3513091304513165,EpsilonGreedy
2.0,3.0781950874908848,EpsilonGreedy
2.0,4.8277784972164834,EpsilonGreedy
2.0,2.8655553621994323,EpsilonGreedy
2.0,3.295871068041677,EpsilonGreedy
2.0,4.781400391738748,EpsilonGreedy
2.0,1.9897208180398491,EpsilonGreedy
2.0,2.86986233605581,EpsilonGreedy
2.0,3.6282116776028888,EpsilonGreedy
2.0,3.3495120390200013,EpsilonGreedy
2.0,4.57578590315135,EpsilonGreedy
2.0,0.040363204479584525,EpsilonGreedy
2.0,0.38551487759491776,EpsilonGreedy
2.0,1.9324272130264157,EpsilonGreedy
2.0,2.4709802382511588,EpsilonGreedy
2.0,2.6600915584505755,EpsilonGreedy
2.0,2.8585804088049684,EpsilonGreedy
2.0,2.235488049673764,EpsilonGreedy
2.0,2.241323265714784,EpsilonGreedy
2.0,2.2816516428732485,EpsilonGreedy
